angle1,angle2,angle3,angle4,angle5,angle6,letra
175,14,2,3,128,107,I
175,14,2,4,128,106,I
175,14,3,3,127,107,I
175,15,2,4,128,106,I
174,14,2,4,127,106,I
174,14,2,3,129,106,I
175,15,1,3,127,106,I
175,15,1,4,128,107,I
176,14,1,4,127,107,I
174,14,2,3,126,107,I
175,15,2,3,128,108,I
176,14,1,3,129,108,I
175,14,1,4,129,108,I
174,14,1,4,129,108,I
175,15,1,4,128,107,I
175,15,1,4,128,107,I
175,15,2,3,126,107,I
175,14,2,3,127,106,I
176,14,1,3,124,106,I
176,14,1,4,124,106,I
175,14,1,3,127,107,I
175,14,1,3,126,106,I
176,14,2,3,126,106,I
176,14,2,3,125,106,I
176,14,3,3,126,108,I
175,14,3,3,126,108,I
174,15,3,3,128,109,I
174,16,3,2,129,108,I
175,16,3,3,129,108,I
174,17,4,3,129,109,I
176,18,3,2,127,108,I
175,16,3,2,128,107,I
175,14,2,4,128,107,I
176,16,2,4,129,108,I
175,14,3,3,127,107,I
174,15,2,3,126,107,I
173,12,2,3,126,108,I
175,12,2,3,126,107,I
175,14,2,4,127,107,I
175,13,2,4,125,106,I
173,14,1,4,127,105,I
173,14,1,4,127,105,I
174,16,2,4,130,106,I
174,16,2,3,130,106,I
175,16,2,4,129,106,I
173,16,1,4,129,106,I
174,16,1,5,131,106,I
173,16,1,4,129,106,I
174,16,1,4,129,107,I
174,16,1,4,129,107,I
174,16,1,4,131,107,I
174,16,2,3,131,107,I
175,15,1,4,129,107,I
175,15,1,4,129,106,I
174,18,2,4,128,107,I
174,17,3,3,128,106,I
176,13,3,4,127,106,I
177,13,1,4,126,106,I
175,15,1,4,127,106,I
174,16,1,3,129,106,I
79,54,165,167,163,134,K
78,56,167,167,166,135,K
77,56,166,167,166,135,K
77,55,165,166,166,135,K
79,57,166,166,166,135,K
78,56,166,165,166,135,K
77,55,165,164,169,139,K
77,56,164,163,170,137,K
77,55,165,164,168,138,K
80,56,166,166,170,138,K
79,57,166,165,169,137,K
78,57,166,165,166,135,K
78,57,166,165,166,135,K
78,56,165,166,169,136,K
78,56,165,164,168,136,K
79,56,164,166,166,136,K
78,56,165,167,165,135,K
79,55,165,167,168,137,K
77,55,166,166,169,136,K
77,55,166,167,167,136,K
76,55,166,167,168,136,K
75,55,166,166,169,138,K
75,56,165,166,169,138,K
77,57,166,166,164,135,K
76,56,167,166,165,135,K
78,57,167,166,170,138,K
79,57,167,165,171,140,K
79,58,166,165,166,137,K
79,58,166,166,166,135,K
77,57,166,166,168,135,K
77,57,167,167,165,134,K
81,58,166,166,167,135,K
81,58,165,166,166,135,K
79,58,166,165,169,136,K
81,58,166,166,167,137,K
79,58,166,165,170,138,K
80,58,166,166,167,137,K
79,57,166,164,169,137,K
79,57,166,164,168,136,K
80,57,166,166,169,136,K
78,57,165,166,167,137,K
77,56,165,164,166,133,K
76,56,165,165,165,134,K
74,55,166,165,168,136,K
75,55,166,166,170,139,K
77,55,165,166,167,135,K
78,56,166,166,168,136,K
77,55,166,165,167,137,K
77,55,165,165,165,136,K
78,56,165,165,166,135,K
77,55,165,165,166,135,K
78,56,166,167,165,134,K
79,56,166,165,166,134,K
78,55,165,166,168,138,K
78,55,165,166,167,136,K
77,56,165,166,167,136,K
78,56,165,166,168,136,K
77,55,165,165,169,136,K
77,56,165,166,169,136,K
76,55,165,165,166,136,K
74,55,165,166,165,135,K
75,56,165,165,166,136,K
75,56,165,164,166,135,K
77,56,164,165,166,134,K
77,55,164,165,169,137,K
78,56,166,164,166,136,K
77,56,165,164,167,136,K
75,55,165,166,169,137,K
77,56,165,165,168,136,K
75,55,164,165,168,138,K
75,56,165,165,168,138,K
77,56,166,165,170,138,K
75,56,166,165,167,137,K
75,56,166,165,167,138,K
74,54,166,166,170,140,K
73,54,165,166,167,138,K
73,55,165,164,163,135,K
76,57,165,164,164,134,K
76,56,165,165,166,137,K
77,56,166,165,165,136,K
77,55,166,165,166,136,K
75,54,165,166,163,133,K
75,54,166,167,164,134,K
78,56,166,165,167,137,K
77,56,165,166,165,135,K
77,56,165,166,166,137,K
79,56,166,166,166,136,K
77,55,165,166,168,137,K
77,54,165,166,166,136,K
79,57,165,167,165,135,K
77,55,166,167,163,134,K
